ticker,branch_id
SCHV,11d RSI SCHV LT27 - L SCHV
SCHX,19d RSI SCHX LT35 - L SCHX
SCZ,18d RSI SCZ LT29 - L SCZ
SDS,4d RSI SDS LT18 - L SDS
SDVY,20d RSI SDVY LT37 - L SDVY
SDY,7d RSI SDY LT19 - L SDY
SGOL,17d RSI SGOL LT33 - L SGOL
SH,4d RSI SH LT18 - L SH
SIL,4d RSI SIL LT11 - L SIL
SIVR,5d RSI SIVR LT10 - L SIVR
SJB,7d RSI SJB LT28 - L SJB
SKYY,4d RSI SKYY LT10 - L SKYY
SLV,5d RSI SLV LT10 - L SLV
SLYG,16d RSI SLYG LT33 - L SLYG
SMMD,17d RSI SMMD LT31 - L SMMD
SOXL,4d RSI SOXL LT13 - L SOXL
SOXS,3d RSI SOXS LT10 - L SOXS
SOYB,21d RSI SOYB LT37 - L SOYB
SPDN,4d RSI SPDN LT18 - L SPDN
SPGM,21d RSI SPGM LT34 - L SPGM
SPHB,21d RSI SPHB LT37 - L SPHB
SPMO,11d RSI SPMO LT26 - L SPMO
SPPP,6d RSI SPPP LT22 - L SPPP
SPSM,19d RSI SPSM LT35 - L SPSM
SPTM,18d RSI SPTM LT35 - L SPTM
SPXL,20d RSI SPXL LT36 - L SPXL
SPXS,3d RSI SPXS LT12 - L SPXS
SPXU,4d RSI SPXU LT18 - L SPXU
SPY,21d RSI SPY LT38 - L SPY
SPYD,8d RSI SPYD LT23 - L SPYD
SPYG,21d RSI SPYG LT35 - L SPYG
SPYV,11d RSI SPYV LT27 - L SPYV
SPYX,21d RSI SPYX LT37 - L SPYX
SQQQ,3d RSI SQQQ LT11 - L SQQQ
SRTY,11d RSI SRTY LT30 - L SRTY
SSO,20d RSI SSO LT37 - L SSO
TAN,7d RSI TAN LT17 - L TAN
TBT,3d RSI TBT LT11 - L TBT
TIP,4d RSI TIP LT11 - L TIP
TLT,10d RSI TLT LT24 - L TLT
TMF,8d RSI TMF LT20 - L TMF
TUR,15d RSI TUR LT36 - L TUR
TWM,4d RSI TWM LT13 - L TWM
TZA,4d RSI TZA LT14 - L TZA
UAE,18d RSI UAE LT37 - L UAE
UDOW,21d RSI UDOW LT35 - L UDOW
UNG,4d RSI UNG LT10 - L UNG
UNL,5d RSI UNL LT16 - L UNL
UPRO,17d RSI UPRO LT34 - L UPRO
URA,20d RSI URA LT38 - L URA
URTH,16d RSI URTH LT33 - L URTH
USD,4d RSI USD LT11 - L USD
USMC,20d RSI USMC LT34 - L USMC
USMV,19d RSI USMV LT32 - L USMV
UTES,14d RSI UTES LT28 - L UTES
UTSL,10d RSI UTSL LT23 - L UTSL
UUP,4d RSI UUP LT20 - L UUP
UVXY,8d RSI UVXY LT21 - L UVXY
UWM,14d RSI UWM LT29 - L UWM
VB,17d RSI VB LT31 - L VB
VDE,14d RSI VDE LT35 - L VDE
VFH,15d RSI VFH LT32 - L VFH
VGK,4d RSI VGK LT13 - L VGK
VGLT,11d RSI VGLT LT25 - L VGLT
VGT,4d RSI VGT LT11 - L VGT
VIGI,21d RSI VIGI LT32 - L VIGI
VIXY,9d RSI VIXY LT23 - L VIXY
VLUE,5d RSI VLUE LT19 - L VLUE
VMBS,4d RSI VMBS LT11 - L VMBS
VNQ,6d RSI VNQ LT10 - L VNQ
VNQI,5d RSI VNQI LT15 - L VNQI
VO,20d RSI VO LT33 - L VO
VOE,5d RSI VOE LT12 - L VOE
VONV,13d RSI VONV LT29 - L VONV
VOO,21d RSI VOO LT38 - L VOO
VOOG,18d RSI VOOG LT33 - L VOOG
VOT,21d RSI VOT LT36 - L VOT
VPL,7d RSI VPL LT19 - L VPL
VPU,11d RSI VPU LT24 - L VPU
VSS,20d RSI VSS LT31 - L VSS
VT,16d RSI VT LT31 - L VT
VTI,21d RSI VTI LT36 - L VTI
VTV,6d RSI VTV LT16 - L VTV
VTWO,15d RSI VTWO LT29 - L VTWO
VV,19d RSI VV LT35 - L VV
VWOB,10d RSI VWOB LT21 - L VWOB
VXF,11d RSI VXF LT24 - L VXF
VYM,6d RSI VYM LT16 - L VYM
VYMI,4d RSI VYMI LT10 - L VYMI
WEAT,21d RSI WEAT LT34 - L WEAT
XAR,4d RSI XAR LT12 - L XAR
XES,12d RSI XES LT29 - L XES
XHB,15d RSI XHB LT30 - L XHB
XLE,14d RSI XLE LT35 - L XLE
XLF,12d RSI XLF LT30 - L XLF
XLG,20d RSI XLG LT37 - L XLG
XLV,20d RSI XLV LT38 - L XLV
XME,15d RSI XME LT32 - L XME
XMMO,19d RSI XMMO LT33 - L XMMO
XOP,18d RSI XOP LT37 - L XOP
XRT,7d RSI XRT LT21 - L XRT
XSMO,19d RSI XSMO LT37 - L XSMO
XYLD,16d RSI XYLD LT28 - L XYLD
YANG,17d RSI YANG LT36 - L YANG
YYY,18d RSI YYY LT27 - L YYY
ZROZ,4d RSI ZROZ LT10 - L ZROZ
