,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2020 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (684),Condition (684),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
ASHR,19d RSI ASHR LT39 - L ASHR,12.9 %,15.4 %,6455,7720,28.6 %,6.8 %,45.2 %,228.9 %,0.0 %,-3.5 %,3,6,0.2,0.5,100.0 %,100.0 %,,,2152,1213,4.3 %,2.4 %,3,1.8,0,0,3,6,0,0,3,6,0,0,2,2,,,3,6,,,4,6.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,2152,1213,0,0,100.0 %,100.0 %
BAB,17d RSI BAB LT41 - L BAB,-4.4 %,2.5 %,-2190,1255,14.7 %,6.8 %,-29.8 %,37.2 %,-0.4 %,-0.8 %,4,4,0.3,0.3,50.0 %,100.0 %,0.3,,-547,311,-1.1 %,0.6 %,5.2,3.2,1,0,1,4,1,0,1,4,2,0,1,3,1,,2,4,0.3,,-0.8,13.7,-5643,0,-5.6 %,0.0 %,-5643,0,-5.6 %,0.0 %,-5827,0,-5.8 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,408,311,-1503,0,33.3 %,100.0 %
BAR,3d RSI BAR LT12 - L BAR,-3.8 %,3.4 %,-1882,1678,8.5 %,6.8 %,-44.5 %,49.8 %,-1.7 %,-0.9 %,3,6,0.2,0.5,33.3 %,83.3 %,0.2,4.5,-627,276,-1.3 %,0.6 %,4,1.8,2,1,1,5,2,0,1,5,2,0,1,4,0.5,5,1,5,0.1,22.3,-1.8,3.1,-4155,-78,-4.2 %,-0.2 %,-4155,0,-4.2 %,0.0 %,-4155,0,-4.2 %,0.0 %,33.3 %,83.3 %,33.3 %,83.3 %,33.3 %,100.0 %,195,347,-1039,-78,33.3 %,100.0 %
BBHY,8d RSI BBHY LT30 - L BBHY,-8.5 %,2.0 %,-4225,1024,14.8 %,6.8 %,-57.2 %,30.4 %,-9.0 %,-0.4 %,5,5,0.4,0.4,20.0 %,100.0 %,0.3,,-845,203,-1.7 %,0.4 %,4.2,2.4,4,0,1,5,4,0,1,5,2,0,1,4,0.2,,1,5,0.1,,-1.6,3.4,-9014,0,-9.0 %,0.0 %,-9014,0,-9.0 %,0.0 %,-9014,0,-9.0 %,0.0 %,20.0 %,100.0 %,20.0 %,100.0 %,20.0 %,100.0 %,282,203,-1127,0,33.3 %,100.0 %
BCI,21d RSI BCI LT37 - L BCI,-13.1 %,4.3 %,-6551,2153,83.1 %,6.0 %,-15.8 %,72.3 %,-12.4 %,-1.0 %,7,5,0.6,0.4,28.6 %,80.0 %,0.4,4.5,-936,424,-1.9 %,0.8 %,6.6,2,3,1,1,3,5,1,1,3,2,0,1,4,0.4,4,2,4,0.2,18.1,-1.7,3.3,-11582,-124,-11.6 %,-0.2 %,-15183,-124,-15.2 %,-0.2 %,-15183,0,-15.2 %,0.0 %,28.6 %,80.0 %,28.6 %,80.0 %,16.7 %,80.0 %,606,561,-1553,-124,33.3 %,100.0 %
BIL,3d RSI BIL LT70 - L BIL,0.1 %,0.9 %,64,456,79.8 %,36.5 %,0.2 %,2.5 %,-0.0 %,-0.0 %,7,24,0.6,2,85.7 %,100.0 %,1.8,,9,19,0.0 %,0.0 %,19.1,2.8,1,0,5,24,1,0,5,22,1,0,3,12,6,,6,24,11,,3.6,16.7,-13,0,-0.0 %,0.0 %,-13,0,-0.0 %,0.0 %,-13,0,-0.0 %,0.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,12,19,-6,0,80.0 %,100.0 %
BIV,19d RSI BIV LT46 - L BIV,0.9 %,1.3 %,425,648,15.9 %,5.2 %,5.3 %,25.1 %,-0.0 %,-0.2 %,6,4,0.5,0.3,66.7 %,100.0 %,0.8,,71,161,0.1 %,0.3 %,3.7,2.2,1,0,2,4,1,0,2,4,1,0,2,3,2,,4,4,1.6,,0.4,4.9,-1384,0,-1.4 %,0.0 %,-146,0,-0.1 %,0.0 %,-146,0,-0.1 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,60.0 %,100.0 %,284,161,-356,0,66.7 %,100.0 %
BIZD,21d RSI BIZD LT48 - L BIZD,-32.7 %,13.9 %,-16362,6946,38.1 %,9.5 %,-85.8 %,145.9 %,-48.0 %,-1.3 %,11,8,0.9,0.7,54.5 %,100.0 %,0.3,,-1487,821,-3.0 %,1.6 %,5.3,2,2,0,3,8,2,0,3,6,1,0,3,4,1.2,,6,8,0.4,,-0.7,5.7,-51521,0,-51.5 %,0.0 %,-51521,0,-51.5 %,0.0 %,-51521,0,-51.5 %,0.0 %,54.5 %,100.0 %,54.5 %,100.0 %,50.0 %,100.0 %,1801,821,-5434,0,57.1 %,100.0 %
BKLN,20d RSI BKLN LT43 - L BKLN,-4.0 %,2.6 %,-1982,1302,18.1 %,6.3 %,-21.9 %,41.0 %,-11.4 %,-0.3 %,8,5,0.7,0.4,50.0 %,100.0 %,0.7,,-248,259,-0.5 %,0.5 %,3.1,2.2,4,0,4,5,3,0,3,4,1,0,2,4,1,,4,5,0.7,,-0.4,2,-12853,0,-12.9 %,0.0 %,-9540,0,-9.5 %,0.0 %,-8525,0,-8.5 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,1111,259,-1607,0,66.7 %,100.0 %
BLV,17d RSI BLV LT44 - L BLV,3.5 %,3.9 %,1746,1961,26.1 %,6.3 %,13.4 %,61.8 %,-0.8 %,-0.6 %,9,6,0.8,0.5,66.7 %,83.3 %,1.3,7.5,194,322,0.4 %,0.6 %,4,1.7,1,1,3,4,1,0,3,5,1,0,2,3,2,5,6,5,2.7,37.5,1.3,3.4,-818,-53,-0.8 %,-0.1 %,-818,0,-0.8 %,0.0 %,-751,0,-0.8 %,0.0 %,66.7 %,83.3 %,66.7 %,83.3 %,62.5 %,100.0 %,467,397,-351,-53,60.0 %,100.0 %
