,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
EFAV,18d RSI EFAV LT41 - L EFAV,1.5 %,8.6 %,761,4317,100.0 %,6.4 %,1.5 %,134.9 %,0.0 %,-0.9 %,1,7,0.1,0.6,100.0 %,100.0 %,,,761,594,1.5 %,1.2 %,3,1.3,0,0,1,7,0,0,1,6,0,0,1,5,,,1,7,,,0,2.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,761,594,0,0,100.0 %,100.0 %
EFG,3d RSI EFG LT10 - L EFG,1.5 %,8.8 %,735,4439,64.7 %,8.0 %,2.3 %,111.0 %,-0.3 %,-3.6 %,2,5,0.2,0.4,50.0 %,100.0 %,5.6,,368,861,0.7 %,1.7 %,4.5,3,1,0,1,5,1,0,1,5,0,0,1,3,1,,1,5,5.6,,1,1.9,-320,0,-0.3 %,0.0 %,-320,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,895,861,-160,0,100.0 %,100.0 %
EFV,17d RSI EFV LT45 - L EFV,0.4 %,12.6 %,212,6344,100.0 %,7.2 %,0.4 %,176.2 %,-0.5 %,-4.2 %,4,6,0.3,0.5,50.0 %,100.0 %,1.8,,53,1001,0.1 %,2.0 %,3.2,2,2,0,1,6,2,0,1,5,0,0,1,4,1,,2,6,1.8,,0.5,4.3,-521,0,-0.5 %,0.0 %,-521,0,-0.5 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,236,1001,-130,0,100.0 %,100.0 %
EIDO,12d RSI EIDO LT30 - L EIDO,-0.5 %,19.2 %,-247,9683,51.2 %,6.4 %,-1.0 %,302.6 %,-7.2 %,-3.8 %,5,7,0.4,0.6,60.0 %,85.7 %,0.6,17.1,-49,1288,-0.1 %,2.6 %,3.2,1.3,2,1,2,4,2,1,1,4,1,1,1,3,1.5,6,3,6,0.9,102.4,-0.1,2.6,-7382,-89,-7.4 %,-0.2 %,-7382,-89,-7.4 %,-0.2 %,-2407,0,-2.4 %,-0.0 %,60.0 %,85.7 %,60.0 %,85.7 %,50.0 %,85.7 %,1148,1517,-1845,-89,50.0 %,80.0 %
EIS,4d RSI EIS LT17 - L EIS,9.0 %,18.5 %,4490,9305,50.0 %,8.0 %,18.0 %,232.6 %,0.0 %,-2.5 %,2,6,0.2,0.5,100.0 %,83.3 %,,19.9,2245,1444,4.5 %,2.9 %,2.5,2.3,0,1,2,3,0,1,2,3,0,0,1,5,,5,2,5,,99.5,6.2,3.2,0,-88,0.0 %,-0.2 %,0,-88,0.0 %,-0.2 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,2245,1750,0,-88,100.0 %,100.0 %
EMB,3d RSI EMB LT22 - L EMB,1.8 %,5.1 %,875,2584,34.5 %,13.6 %,5.1 %,38.0 %,-0.8 %,-4.3 %,5,12,0.4,1,60.0 %,91.7 %,2.1,,175,209,0.4 %,0.4 %,2.8,1.8,2,1,2,11,2,1,2,11,0,1,2,9,1.5,11,3,11,3.2,,1.1,4.6,-803,0,-0.8 %,0.0 %,-803,0,-0.8 %,0.0 %,0,0,0.0 %,0.0 %,60.0 %,91.7 %,60.0 %,91.7 %,60.0 %,91.7 %,425,228,-201,0,100.0 %,90.0 %
EMGF,12d RSI EMGF LT38 - L EMGF,6.8 %,15.7 %,3399,7924,61.5 %,8.8 %,11.0 %,180.1 %,0.0 %,-6.2 %,3,7,0.2,0.6,100.0 %,100.0 %,,,1133,1058,2.3 %,2.1 %,1.7,2.1,0,0,3,7,0,0,3,6,0,0,1,6,,,3,7,,,7.8,4.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1133,1058,0,0,100.0 %,100.0 %
EMHY,3d RSI EMHY LT26 - L EMHY,1.5 %,5.9 %,770,2951,34.0 %,18.4 %,4.5 %,32.1 %,-0.4 %,-5.0 %,6,14,0.5,1.2,66.7 %,92.9 %,1.7,0.5,128,204,0.3 %,0.4 %,2,2.3,1,1,2,8,1,1,2,8,0,1,2,6,2,13,4,13,3.4,6.5,1.3,3.1,-449,-521,-0.4 %,-1.0 %,-449,-521,-0.4 %,-1.0 %,0,-438,0.0 %,-0.9 %,66.7 %,92.9 %,66.7 %,92.9 %,66.7 %,92.9 %,273,260,-162,-521,100.0 %,90.0 %
EMLC,5d RSI EMLC LT28 - L EMLC,0.8 %,4.9 %,382,2477,81.2 %,7.6 %,0.9 %,65.2 %,0.0 %,-0.4 %,4,7,0.3,0.6,75.0 %,100.0 %,0.6,,96,345,0.2 %,0.7 %,2.2,1.7,1,0,3,7,1,0,3,7,0,0,1,6,3,,3,7,1.7,,0.4,3.2,-1146,0,-1.1 %,0.0 %,-1146,0,-1.1 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,319,345,-573,0,100.0 %,100.0 %
EMLP,19d RSI EMLP LT50 - L EMLP,0.5 %,11.5 %,240,5815,100.0 %,29.6 %,0.5 %,39.3 %,0.0 %,-5.6 %,1,15,0.1,1.3,100.0 %,80.0 %,,4.3,240,366,0.5 %,0.7 %,3,3.9,0,1,1,8,0,1,1,8,0,0,1,9,,4,1,12,,17.4,0,4.9,0,-268,0.0 %,-0.5 %,0,-41,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,85.7 %,240,486,0,-112,100.0 %,100.0 %
EMXC,3d RSI EMXC LT13 - L EMXC,1.2 %,9.7 %,609,4889,100.0 %,7.6 %,1.2 %,128.7 %,0.0 %,-3.8 %,1,6,0.1,0.5,100.0 %,100.0 %,,,609,781,1.2 %,1.6 %,1,2.2,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,609,781,0,0,100.0 %,100.0 %
EPHE,9d RSI EPHE LT28 - L EPHE,1.7 %,15.4 %,828,7782,91.7 %,8.0 %,1.8 %,194.5 %,-0.8 %,-3.3 %,3,7,0.2,0.6,66.7 %,85.7 %,1.6,5.9,276,1043,0.6 %,2.1 %,2.7,1.9,1,1,1,5,1,1,1,5,0,0,1,6,2,6,2,6,3.2,35.3,1,3.2,-758,-213,-0.8 %,-0.4 %,-758,-213,-0.8 %,-0.4 %,0,0,0.0 %,0.0 %,66.7 %,85.7 %,66.7 %,85.7 %,66.7 %,85.7 %,603,1253,-379,-213,100.0 %,100.0 %
EPI,4d RSI EPI LT12 - L EPI,-2.7 %,3.0 %,-1357,1522,73.3 %,6.0 %,-3.7 %,50.7 %,-3.0 %,-2.0 %,2,5,0.2,0.4,50.0 %,80.0 %,0.1,2.1,-678,300,-1.4 %,0.6 %,4.5,2,1,1,1,4,1,1,1,4,1,1,0,4,1,4,1,4,0.1,8.3,-1.1,1.7,-3036,-205,-3.0 %,-0.4 %,-3036,-205,-3.0 %,-0.4 %,-2714,-205,-2.7 %,-0.4 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,80.0 %,161,426,-1518,-205,0.0 %,80.0 %
EPOL,21d RSI EPOL LT48 - L EPOL,5.4 %,26.7 %,2678,13475,100.0 %,11.2 %,5.4 %,240.6 %,-0.4 %,-3.9 %,5,10,0.4,0.8,80.0 %,90.0 %,3.7,1.7,536,1220,1.1 %,2.4 %,2.4,1.8,1,1,3,6,1,1,2,5,0,0,1,5,4,9,4,9,14.7,15,2.2,2.6,-391,-870,-0.4 %,-1.7 %,-391,-870,-0.4 %,-1.7 %,0,0,0.0 %,0.0 %,80.0 %,90.0 %,80.0 %,90.0 %,75.0 %,87.5 %,718,1452,-196,-870,100.0 %,100.0 %
EPP,9d RSI EPP LT32 - L EPP,5.4 %,13.6 %,2707,6834,57.1 %,10.4 %,9.5 %,131.4 %,0.0 %,-4.3 %,3,7,0.2,0.6,100.0 %,85.7 %,,15.2,902,923,1.8 %,1.9 %,1.7,2.7,0,1,3,6,0,1,3,6,0,1,1,5,,6,3,6,,91.2,6.6,3.1,0,-72,0.0 %,-0.1 %,0,-72,0.0 %,-0.1 %,0,-72,0.0 %,-0.1 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,902,1088,0,-72,100.0 %,83.3 %
EPU,15d RSI EPU LT51 - L EPU,-5.4 %,31.3 %,-2717,15782,70.4 %,21.6 %,-7.7 %,146.1 %,-9.7 %,-3.9 %,4,16,0.3,1.3,50.0 %,93.8 %,0.5,4.1,-679,862,-1.4 %,1.7 %,3.8,2.4,2,1,1,13,2,1,1,11,1,0,1,8,1,15,2,15,0.5,61.5,-0.6,6.4,-9894,-228,-9.9 %,-0.5 %,-7389,-228,-7.4 %,-0.5 %,-7389,0,-7.4 %,0.0 %,50.0 %,93.8 %,50.0 %,93.8 %,33.3 %,92.9 %,1115,934,-2474,-228,50.0 %,100.0 %
ERY,18d RSI ERY LT37 - L ERY,-21.0 %,16.2 %,-10509,8186,100.0 %,6.0 %,-21.0 %,272.9 %,-2.6 %,-3.6 %,4,5,0.3,0.4,25.0 %,100.0 %,0.3,,-2627,1532,-5.3 %,3.1 %,8.5,2,2,0,1,5,1,0,1,5,2,0,0,3,0.3,,1,5,0.1,,-1.1,5.1,-2098,0,-2.1 %,0.0 %,-21189,0,-21.2 %,0.0 %,-21018,0,-21.0 %,0.0 %,25.0 %,100.0 %,25.0 %,100.0 %,33.3 %,100.0 %,1135,1532,-3881,0,0.0 %,100.0 %
ESGD,20d RSI ESGD LT42 - L ESGD,1.5 %,11.7 %,739,5895,85.7 %,6.0 %,1.7 %,196.5 %,-0.0 %,-3.5 %,3,5,0.2,0.4,66.7 %,100.0 %,18.1,,246,1125,0.5 %,2.2 %,3,2,1,0,2,5,1,0,2,4,0,0,1,3,2,,2,5,36.3,,2.2,3.2,-42,0,-0.0 %,0.0 %,-42,0,-0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,380,1125,-21,0,100.0 %,100.0 %
ESGE,3d RSI ESGE LT11 - L ESGE,1.2 %,7.1 %,587,3592,100.0 %,5.6 %,1.2 %,128.3 %,0.0 %,-6.0 %,1,5,0.1,0.4,100.0 %,100.0 %,,,587,694,1.2 %,1.4 %,1,1.8,0,0,1,5,0,0,1,5,0,0,1,5,,,1,5,,,0,6.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,587,694,0,0,100.0 %,100.0 %
ESGU,6d RSI ESGU LT22 - L ESGU,-0.4 %,5.8 %,-195,2939,100.0 %,7.6 %,-0.4 %,77.3 %,0.0 %,-9.8 %,1,3,0.1,0.2,0.0 %,66.7 %,0,1.3,-195,1008,-0.4 %,2.0 %,8,5.3,1,1,0,2,1,1,0,2,1,1,0,2,0,2,0,2,0,2.5,0,0.7,-391,-1988,-0.4 %,-4.0 %,-391,-1988,-0.4 %,-4.0 %,-391,-1988,-0.4 %,-4.0 %,0.0 %,66.7 %,0.0 %,66.7 %,0.0 %,66.7 %,0,2506,-195,-1988,0.0 %,66.7 %
EUFN,20d RSI EUFN LT49 - L EUFN,-1.9 %,17.9 %,-928,9044,72.4 %,11.6 %,-2.6 %,155.9 %,-5.8 %,-4.5 %,6,10,0.5,0.8,50.0 %,90.0 %,0.7,2.4,-155,837,-0.3 %,1.7 %,2.3,1.9,2,1,1,5,1,0,1,8,1,0,1,4,1,9,3,9,0.7,21.6,-0.4,3.7,-3912,-407,-3.9 %,-0.8 %,-2213,0,-2.2 %,0.0 %,-3823,0,-3.8 %,0.0 %,50.0 %,90.0 %,50.0 %,90.0 %,60.0 %,100.0 %,701,975,-1011,-407,50.0 %,100.0 %
EWC,5d RSI EWC LT27 - L EWC,-1.8 %,8.8 %,-925,4429,29.7 %,8.8 %,-6.2 %,100.7 %,-2.9 %,-4.5 %,2,6,0.2,0.5,50.0 %,83.3 %,0.4,10,-462,709,-0.9 %,1.4 %,4.5,2.7,1,1,1,5,1,1,1,5,1,0,1,5,1,5,1,5,0.4,49.8,-0.7,3.5,-2919,-87,-2.9 %,-0.2 %,-2919,-87,-2.9 %,-0.2 %,-2919,0,-2.9 %,0.0 %,50.0 %,83.3 %,50.0 %,83.3 %,50.0 %,83.3 %,534,868,-1459,-87,50.0 %,100.0 %
EWD,3d RSI EWD LT10 - L EWD,-2.5 %,9.0 %,-1246,4547,100.0 %,5.6 %,-2.5 %,162.4 %,0.0 %,-4.4 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-1246,1097,-2.5 %,2.2 %,6,2.5,1,0,0,4,1,0,0,4,1,0,0,2,0,,0,4,0,,0,2.9,-2493,0,-2.5 %,0.0 %,-2493,0,-2.5 %,0.0 %,-2493,0,-2.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1097,-1246,0,0.0 %,100.0 %
EWG,19d RSI EWG LT45 - L EWG,-3.7 %,17.9 %,-1856,9031,100.0 %,14.8 %,-3.7 %,122.0 %,-1.9 %,-4.3 %,4,13,0.3,1.1,0.0 %,92.3 %,0,6.4,-464,642,-0.9 %,1.3 %,3.5,1.9,4,1,0,9,4,0,0,11,1,0,0,5,0,12,0,12,0,77.1,-3.1,3.5,-3712,-110,-3.7 %,-0.2 %,-3712,0,-3.7 %,0.0 %,-3712,0,-3.7 %,0.0 %,0.0 %,92.3 %,0.0 %,92.3 %,0.0 %,100.0 %,0,705,-464,-110,0.0 %,100.0 %
EWH,21d RSI EWH LT48 - L EWH,2.3 %,12.4 %,1145,6270,90.0 %,22.4 %,2.5 %,56.0 %,0.0 %,-8.2 %,2,14,0.2,1.2,100.0 %,85.7 %,,0.5,572,430,1.1 %,0.9 %,3.5,3,0,1,2,7,0,1,2,7,0,1,1,6,,6,2,12,,2.9,3.3,1.7,0,-1945,0.0 %,-3.9 %,0,-1847,0.0 %,-3.7 %,0,-884,0.0 %,-1.8 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,84.6 %,572,766,0,-1584,100.0 %,85.7 %
EWI,21d RSI EWI LT51 - L EWI,-1.9 %,17.1 %,-944,8645,100.0 %,13.2 %,-1.9 %,131.0 %,-1.4 %,-6.0 %,5,12,0.4,1,40.0 %,91.7 %,0.8,2.3,-189,668,-0.4 %,1.3 %,2.6,1.8,2,1,1,6,1,0,1,9,1,0,0,5,0.7,11,2,11,0.5,24.8,-0.6,3.9,-1334,-337,-1.3 %,-0.7 %,-2466,0,-2.5 %,0.0 %,-1888,0,-1.9 %,0.0 %,40.0 %,91.7 %,40.0 %,91.7 %,50.0 %,100.0 %,478,759,-633,-337,0.0 %,100.0 %
EWJ,17d RSI EWJ LT42 - L EWJ,2.8 %,11.4 %,1392,5772,78.6 %,7.6 %,3.5 %,151.9 %,0.0 %,-8.5 %,3,6,0.2,0.5,100.0 %,100.0 %,,,464,913,0.9 %,1.8 %,2.7,2.2,0,0,3,6,0,0,3,4,0,0,1,4,,,3,6,,,10.6,5.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,464,913,0,0,100.0 %,100.0 %
EWL,18d RSI EWL LT46 - L EWL,-4.3 %,13.8 %,-2142,6965,100.0 %,15.2 %,-4.3 %,91.7 %,0.0 %,-4.4 %,2,13,0.2,1.1,50.0 %,69.2 %,0.1,4.5,-1071,504,-2.1 %,1.0 %,8,1.9,1,2,1,4,1,1,1,6,1,1,0,4,1,2.2,1,9,0.1,10.2,-1.2,3,-4668,-463,-4.7 %,-0.9 %,-4668,-229,-4.7 %,-0.5 %,-4284,-229,-4.3 %,-0.5 %,50.0 %,69.2 %,50.0 %,69.2 %,50.0 %,88.9 %,192,807,-2334,-177,0.0 %,83.3 %
EWM,4d RSI EWM LT13 - L EWM,0.5 %,9.4 %,227,4721,100.0 %,6.8 %,0.5 %,138.9 %,0.0 %,-2.0 %,1,5,0.1,0.4,100.0 %,80.0 %,,3.9,227,910,0.5 %,1.8 %,2,2.4,0,1,1,4,0,1,1,4,0,1,1,4,,4,1,4,,15.8,0,2.5,0,-308,0.0 %,-0.6 %,0,-308,0.0 %,-0.6 %,0,-308,0.0 %,-0.6 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,227,1214,0,-308,100.0 %,80.0 %
EWP,21d RSI EWP LT62 - L EWP,-3.0 %,49.4 %,-1504,24900,86.0 %,55.6 %,-3.5 %,89.6 %,-5.8 %,-5.3 %,10,48,0.8,4,70.0 %,89.6 %,0.3,1.1,-150,422,-0.3 %,0.8 %,3.1,1.9,1,1,3,17,1,1,2,18,1,0,2,11,2.3,8.6,7,43,0.6,9.8,-0.5,6.5,-5953,-829,-6.0 %,-1.7 %,-5953,-563,-6.0 %,-1.1 %,-5294,0,-5.3 %,0.0 %,70.0 %,89.6 %,70.0 %,89.6 %,62.5 %,91.2 %,314,525,-1235,-461,66.7 %,100.0 %
EWQ,20d RSI EWQ LT44 - L EWQ,-3.5 %,14.0 %,-1738,7064,100.0 %,6.4 %,-3.5 %,220.7 %,-0.3 %,-5.3 %,2,6,0.2,0.5,0.0 %,100.0 %,0,,-869,1108,-1.7 %,2.2 %,7.5,1.7,2,0,0,6,2,0,0,5,1,0,0,4,0,,0,6,0,,-1.7,5.4,-3475,0,-3.5 %,0.0 %,-3475,0,-3.5 %,0.0 %,-3475,0,-3.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1108,-869,0,0.0 %,100.0 %
EWS,10d RSI EWS LT41 - L EWS,0.1 %,14.0 %,51,7049,83.3 %,15.6 %,0.1 %,90.4 %,0.0 %,-8.1 %,3,12,0.2,1,66.7 %,91.7 %,0.5,1.5,17,551,0.0 %,1.1 %,4,2.2,1,1,2,10,1,1,2,8,0,0,1,8,2,11,2,11,1,16.6,0,4,-2192,-424,-2.2 %,-0.8 %,-2192,-424,-2.2 %,-0.8 %,0,0,0.0 %,0.0 %,66.7 %,91.7 %,66.7 %,91.7 %,66.7 %,90.0 %,574,639,-1096,-424,100.0 %,100.0 %
EWT,3d RSI EWT LT12 - L EWT,1.8 %,5.8 %,892,2898,100.0 %,5.2 %,1.8 %,111.5 %,0.0 %,-10.0 %,1,4,0.1,0.3,100.0 %,75.0 %,,32.1,892,707,1.8 %,1.4 %,1,2.2,0,1,1,2,0,1,1,2,0,1,1,1,,3,1,3,,96.2,0,2.6,0,-30,0.0 %,-0.1 %,0,-30,0.0 %,-0.1 %,0,-30,0.0 %,-0.1 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,892,952,0,-30,100.0 %,66.7 %
EWU,8d RSI EWU LT39 - L EWU,0.2 %,11.5 %,87,5795,88.2 %,10.8 %,0.2 %,107.3 %,-0.9 %,-5.4 %,4,9,0.3,0.8,50.0 %,100.0 %,1.2,,22,609,0.0 %,1.2 %,2.8,2,2,0,2,9,2,0,2,7,0,0,1,5,1,,2,9,1.2,,0.1,6.6,-961,0,-1.0 %,0.0 %,-961,0,-1.0 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,284,609,-240,0,100.0 %,100.0 %
EWW,3d RSI EWW LT10 - L EWW,3.4 %,2.0 %,1685,989,100.0 %,5.2 %,3.4 %,38.0 %,0.0 %,-2.9 %,1,2,0.1,0.2,100.0 %,100.0 %,,,1685,489,3.4 %,1.0 %,1,5.5,0,0,1,2,0,0,1,2,0,0,1,2,,,1,2,,,0,2.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1685,489,0,0,100.0 %,100.0 %
EWZS,18d RSI EWZS LT40 - L EWZS,3.8 %,28.0 %,1882,14120,100.0 %,10.0 %,3.8 %,282.4 %,0.0 %,-1.6 %,1,8,0.1,0.7,100.0 %,100.0 %,,,1882,1575,3.8 %,3.1 %,6,2.1,0,0,1,8,0,0,1,8,0,0,1,6,,,1,8,,,0,5.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1882,1575,0,0,100.0 %,100.0 %
EZA,18d RSI EZA LT41 - L EZA,0.6 %,4.8 %,279,2406,90.0 %,5.2 %,0.6 %,92.5 %,0.0 %,-5.9 %,2,3,0.2,0.2,100.0 %,66.7 %,,1.2,139,832,0.3 %,1.7 %,3.5,3.3,0,1,2,2,0,1,2,1,0,1,1,1,,2,2,2,,2.3,2.1,0.6,0,-1871,0.0 %,-3.7 %,0,-1109,0.0 %,-2.2 %,0,-1109,0.0 %,-2.2 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,139,2184,0,-1871,100.0 %,50.0 %
EZU,20d RSI EZU LT47 - L EZU,0.1 %,13.5 %,63,6802,100.0 %,10.0 %,0.1 %,136.1 %,-1.1 %,-4.9 %,4,8,0.3,0.7,25.0 %,100.0 %,3.3,,16,802,0.0 %,1.6 %,3.2,2.1,3,0,1,8,3,0,1,7,0,0,1,5,0.3,,1,8,1.1,,0.1,3.3,-1113,0,-1.1 %,0.0 %,-1113,0,-1.1 %,0.0 %,0,0,0.0 %,0.0 %,25.0 %,100.0 %,25.0 %,100.0 %,25.0 %,100.0 %,620,802,-186,0,100.0 %,100.0 %
FALN,4d RSI FALN LT15 - L FALN,-0.0 %,3.0 %,-2,1515,90.9 %,5.2 %,-0.0 %,58.2 %,-0.4 %,-3.5 %,2,3,0.2,0.2,50.0 %,100.0 %,1,,-1,496,-0.0 %,1.0 %,4,3.3,1,0,1,3,1,0,1,3,1,0,0,3,1,,1,3,1,,0,6.6,-371,0,-0.4 %,0.0 %,-371,0,-0.4 %,0.0 %,-3,0,-0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,184,496,-185,0,0.0 %,100.0 %
FAS,3d RSI FAS LT15 - L FAS,-0.4 %,78.6 %,-191,39598,52.0 %,13.6 %,-0.7 %,582.3 %,-5.0 %,-13.8 %,4,9,0.3,0.8,75.0 %,100.0 %,0.3,,-48,3381,-0.1 %,6.8 %,5.2,2.8,1,0,3,9,1,0,3,9,1,0,2,9,3,,3,9,0.9,,-0.1,4.1,-5216,0,-5.2 %,0.0 %,-5216,0,-5.2 %,0.0 %,-5216,0,-5.2 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,806,3381,-2608,0,66.7 %,100.0 %
FAZ,12d RSI FAZ LT31 - L FAZ,4.3 %,21.9 %,2166,11041,100.0 %,9.2 %,4.3 %,240.0 %,0.0 %,-4.3 %,1,6,0.1,0.5,100.0 %,83.3 %,,,2166,1700,4.3 %,3.4 %,1,2.8,0,1,1,5,0,1,1,5,0,1,1,4,,5,1,5,,,0,2.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,2166,2040,0,0,100.0 %,80.0 %
FBND,21d RSI FBND LT44 - L FBND,0.0 %,0.6 %,22,317,90.0 %,5.6 %,0.0 %,11.3 %,-0.2 %,-1.2 %,2,3,0.2,0.2,50.0 %,66.7 %,1.3,3.8,11,105,0.0 %,0.2 %,3.5,3.7,1,1,1,2,1,1,1,2,0,1,1,1,1,2,1,2,1.3,7.7,0.2,1.6,-175,-47,-0.2 %,-0.1 %,-175,-47,-0.2 %,-0.1 %,0,-47,0.0 %,-0.1 %,50.0 %,66.7 %,50.0 %,66.7 %,50.0 %,66.7 %,109,181,-87,-47,100.0 %,50.0 %
FBT,5d RSI FBT LT32 - L FBT,1.4 %,20.8 %,718,10484,84.6 %,16.4 %,1.7 %,127.9 %,-0.4 %,-7.5 %,4,11,0.3,0.9,50.0 %,81.8 %,1.6,7.1,180,872,0.4 %,1.7 %,7,2.6,2,1,2,6,2,1,2,6,1,1,1,6,1,4.5,2,9,1.6,31.9,0.4,3.9,-2218,-236,-2.2 %,-0.5 %,-2218,-236,-2.2 %,-0.5 %,-1857,-236,-1.9 %,-0.5 %,50.0 %,81.8 %,50.0 %,81.8 %,50.0 %,81.8 %,914,1100,-554,-155,50.0 %,77.8 %
FDD,18d RSI FDD LT48 - L FDD,-1.8 %,18.1 %,-876,9113,100.0 %,12.0 %,-1.8 %,151.9 %,-2.4 %,-3.0 %,3,10,0.2,0.8,33.3 %,100.0 %,0.6,,-292,843,-0.6 %,1.7 %,4.7,2,2,0,1,10,2,0,1,9,1,0,0,6,0.5,,1,10,0.3,,-1,3.8,-2421,0,-2.4 %,0.0 %,-2421,0,-2.4 %,0.0 %,-1751,0,-1.8 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,335,843,-605,0,0.0 %,100.0 %
FDN,9d RSI FDN LT25 - L FDN,8.1 %,17.8 %,4056,8983,55.6 %,7.6 %,14.6 %,236.4 %,-0.1 %,-4.9 %,4,5,0.3,0.4,75.0 %,100.0 %,26.2,,1014,1700,2.0 %,3.4 %,2.5,2.8,1,0,2,5,1,0,2,5,0,0,2,4,3,,3,5,78.5,,2.7,2.1,-105,0,-0.1 %,0.0 %,-105,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,1369,1700,-52,0,100.0 %,100.0 %
