,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
BND,3d RSI BND LT16 - L BND,0.4 %,3.2 %,176,1631,22.5 %,10.8 %,1.6 %,30.2 %,-0.1 %,-0.7 %,3,8,0.2,0.7,66.7 %,100.0 %,2.7,,59,200,0.1 %,0.4 %,2,2.4,1,0,2,8,1,0,2,8,0,0,2,7,2,,2,8,5.3,,1.3,6.6,-81,0,-0.1 %,0.0 %,-81,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,108,200,-41,0,100.0 %,100.0 %
BNDX,4d RSI BNDX LT15 - L BNDX,-0.5 %,0.8 %,-227,402,100.0 %,5.2 %,-0.5 %,15.5 %,0.0 %,-0.3 %,1,3,0.1,0.2,0.0 %,100.0 %,0,,-227,133,-0.5 %,0.3 %,6,3.3,1,0,0,3,1,0,0,3,1,0,0,3,0,,0,3,0,,0,3.4,-454,0,-0.5 %,0.0 %,-454,0,-0.5 %,0.0 %,-454,0,-0.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,133,-227,0,0.0 %,100.0 %
BOIL,16d RSI BOIL LT34 - L BOIL,20.2 %,22.4 %,10105,11310,80.0 %,6.4 %,25.3 %,353.4 %,0.0 %,-4.1 %,2,5,0.2,0.4,100.0 %,100.0 %,,,5052,2085,10.1 %,4.2 %,1,2.2,0,0,2,5,0,0,2,5,0,0,1,2,,,2,5,,,3.3,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,5052,2085,0,0,100.0 %,100.0 %
BOND,15d RSI BOND LT40 - L BOND,0.1 %,2.3 %,41,1164,92.9 %,5.6 %,0.1 %,41.6 %,-0.3 %,-1.2 %,3,3,0.2,0.2,33.3 %,100.0 %,2.3,,14,383,0.0 %,0.8 %,3.3,3.7,2,0,1,3,2,0,1,3,0,0,1,2,0.5,,1,3,1.2,,0.1,2.2,-475,0,-0.5 %,0.0 %,-475,0,-0.5 %,0.0 %,0,0,0.0 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,279,383,-119,0,100.0 %,100.0 %
BOTZ,4d RSI BOTZ LT13 - L BOTZ,3.5 %,13.3 %,1744,6727,31.4 %,7.2 %,11.1 %,186.8 %,-1.2 %,-6.2 %,2,5,0.2,0.4,50.0 %,80.0 %,3.7,4.7,872,1292,1.7 %,2.6 %,4.5,2.6,1,1,1,3,1,1,1,3,1,1,1,2,1,4,1,4,3.7,18.7,0.8,1.9,-1292,-366,-1.3 %,-0.7 %,-1292,-366,-1.3 %,-0.7 %,-1292,-366,-1.3 %,-0.7 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,80.0 %,2390,1706,-646,-366,50.0 %,75.0 %
BSCQ,7d RSI BSCQ LT66 - L BSCQ,0.3 %,4.0 %,141,1989,100.0 %,51.2 %,0.3 %,7.8 %,0.0 %,-0.4 %,2,19,0.2,1.6,100.0 %,100.0 %,,,71,102,0.1 %,0.2 %,10.5,5.7,0,0,2,19,0,0,2,17,0,0,1,11,,,2,19,,,15.5,17.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,71,102,0,0,100.0 %,100.0 %
BSCR,3d RSI BSCR LT11 - L BSCR,0.2 %,0.4 %,77,182,100.0 %,7.2 %,0.2 %,5.1 %,0.0 %,-0.1 %,1,1,0.1,0.1,100.0 %,100.0 %,,,77,181,0.2 %,0.4 %,3,17,0,0,1,1,0,0,1,1,0,0,1,1,,,1,1,,,0,0,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,77,181,0,0,100.0 %,100.0 %
BSV,3d RSI BSV LT16 - L BSV,-0.0 %,1.7 %,-12,855,26.7 %,8.0 %,-0.1 %,21.4 %,-0.3 %,-0.1 %,3,7,0.2,0.6,66.7 %,100.0 %,0.5,,-4,120,-0.0 %,0.2 %,3,1.9,1,0,1,7,1,0,1,7,1,0,1,7,2,,2,7,0.9,,-0.1,6.6,-254,0,-0.3 %,0.0 %,-254,0,-0.3 %,0.0 %,-75,0,-0.1 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,58,120,-127,0,50.0 %,100.0 %
BWX,4d RSI BWX LT12 - L BWX,0.8 %,5.4 %,382,2700,54.5 %,6.8 %,1.4 %,79.4 %,0.0 %,-0.5 %,2,5,0.2,0.4,100.0 %,100.0 %,,,191,525,0.4 %,1.1 %,2,2.4,0,0,2,5,0,0,2,5,0,0,1,5,,,2,5,,,20.7,7.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,191,525,0,0,100.0 %,100.0 %
BWZ,10d RSI BWZ LT29 - L BWZ,-0.5 %,4.7 %,-275,2370,100.0 %,5.2 %,-0.5 %,91.2 %,0.0 %,-0.4 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-275,578,-0.5 %,1.2 %,12,2.2,1,0,0,4,1,0,0,4,1,0,0,4,0,,0,4,0,,0,11.2,-550,0,-0.5 %,0.0 %,-550,0,-0.5 %,0.0 %,-550,0,-0.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,578,-275,0,0.0 %,100.0 %
